INDICADORES GENERALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,2026 /certificación de marca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Mínimo,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,85%,85%,90%,90%,90%,90%,90%,90%,90%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,92%,92%,81%,82%,83%,81%,90%,97%,94%,92%,92%,85%,83%,90%,83%,95%,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,102%,102%,90%,91%,92%,90%,100%,108%,104%,102%,102%,94%,92%,100%,98%,112%,106%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANTILLA CON PERMANANENCIA (+90 DÍAS),,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Mínimo,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,61%,75%,69%,67%,68%,72%,77%,66%,76%,73%,88%,97%,88%,88%,97%,90%,88%,85%,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,81%,100%,92%,89%,90%,97%,102%,88%,101%,97%,117%,129%,104%,104%,115%,106%,104%,100%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPACITACIÓN DE MARCA,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,30%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,40%,60%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,0%,0%,80%,82%,80%,82%,84%,86%,91%,97%,98%,7%,20%,33%,47%,72%,89%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,0%,0%,94%,96%,94%,96%,99%,101%,107%,114%,115%,8%,50%,55%,49%,76%,94%,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE CLIMA LABORAL,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Mínimo,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,0,0,0,0,0,0,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
